DATE,PRICE,ADDRESS,AREAS,BEDROOMS,PARKING-SPACES,BATHROOMS,CONDOMÍNIO,IPTU,TIPO
2021-08-05 16:34:17.743126-03:00,R$ 324.792,"Avenida Antônio Fidelis, Parque Amazônia",66 m²,2,1,2,,,apartamentos
2021-08-05 16:34:17.743494-03:00,R$ 210.000,"Avenida Segunda Radial, Setor Pedro Ludovico",80 m²,3,,3,R$ 550,,apartamentos
2021-08-05 16:34:17.743872-03:00,R$ 450.000,"Rua 221, Setor Leste Universitário",79 m²,3,2,2,R$ 590,R$ 949,apartamentos
2021-08-05 16:34:17.744280-03:00,R$ 240.000,"Rua F63, Setor Faiçalville",62 m²,2,1,2,R$ 330,R$ 240,apartamentos
2021-08-05 16:34:17.744718-03:00,R$ 735.000,"Avenida C 1, Jardim América",121 m²,3,2,4,R$ 450,R$ 800,apartamentos
2021-08-05 16:34:17.745133-03:00,R$ 3.750.000,"Avenida Portugal, Setor Oeste",434 m²,5,4,5,,,apartamentos
2021-08-05 16:34:17.745488-03:00,R$ 1.315.000,"Avenida Portugal, Setor Oeste",185 m²,4,2,5,,,apartamentos
2021-08-05 16:34:17.745810-03:00,R$ 1.439.900,"Rua 13, Setor Castelo Branco",202 - 246 m²,3 - 4,,5 - 6,,,apartamentos
2021-08-05 16:34:17.746196-03:00,R$ 730.000,"Rua 1123, Setor Marista",130 m²,3,2,4,R$ 500,R$ 800,apartamentos
2021-08-05 16:34:17.746655-03:00,R$ 3.105.000,"Setor Bueno, Goiânia",395 m²,4,4,6,,,apartamentos
2021-08-05 16:34:17.746984-03:00,R$ 480.000,"Jardim Goiás, Goiânia",87 m²,3,2,2,R$ 450,,apartamentos
2021-08-05 16:34:17.747370-03:00,R$ 220.000,"Rua C117, Jardim América",56 m²,2,1,2,R$ 390,,apartamentos
2021-08-05 16:34:17.747773-03:00,R$ 235.000,"Vila Rosa, Goiânia",55 m²,2,2,2,R$ 260,R$ 400,apartamentos
2021-08-05 16:34:17.748240-03:00,R$ 210.000,"Avenida Francisco de Melo, Vila Rosa",57 m²,2,1,2,R$ 240,,apartamentos
2021-08-05 16:34:17.748648-03:00,R$ 235.000,"Rua A20, Vila Alpes",58 m²,2,3,2,R$ 220,R$ 700,apartamentos
2021-08-05 16:34:17.749071-03:00,R$ 315.000,"Rua A20, Vila Alpes",75 m²,3,2,2,R$ 380,,apartamentos
2021-08-05 16:34:17.749475-03:00,R$ 195.000,"Avenida Francisco de Melo, Vila Rosa",60 m²,2,1,2,R$ 275,R$ 550,apartamentos
2021-08-05 16:34:17.749909-03:00,R$ 179.000,"Rua Rio das Garças, Jardim Novo Petrópolis",64 m²,3,2,2,,,apartamentos
2021-08-05 16:34:17.750246-03:00,R$ 325.117,"Avenida Veneza, Jardim Europa",64 m²,2,1,2,R$ 350,,apartamentos
2021-08-05 16:34:17.750665-03:00,R$ 245.000,"Rua A20, Vila Alpes",57 m²,2,1,2,R$ 400,,apartamentos
2021-08-05 16:34:17.751058-03:00,R$ 420.000,"Parque Amazônia, Goiânia",96 m²,3,2,3,R$ 425,R$ 900,apartamentos
2021-08-05 16:34:17.751512-03:00,R$ 215.000,"Residencial Eldorado, Goiânia",64 m²,2,1,2,R$ 300,R$ 400,apartamentos
2021-08-05 16:34:17.751957-03:00,R$ 399.000,"Rua T 37, Setor Bueno",134 m²,3,2,4,R$ 1.340,,apartamentos
2021-08-05 16:34:17.752346-03:00,R$ 249.000,"Rua Maria Alice, Vila Rosa",53 m²,2,1,2,R$ 260,R$ 780,apartamentos
2021-08-05 16:34:17.752787-03:00,R$ 670.000,"Rua 59, Jardim Goiás",105 m²,3,2,5,R$ 550,,apartamentos
2021-08-05 16:34:17.753162-03:00,R$ 299.000,"Avenida Ravena, Residencial Eldorado",81 m²,3,1,4,R$ 400,,apartamentos
2021-08-05 16:34:17.753565-03:00,R$ 179.000,"Avenida Santa Maria, Parque Amazônia",62 m²,2,2,1,R$ 250,R$ 274,apartamentos
2021-08-05 16:34:17.753974-03:00,R$ 260.000,"Rua Caapi, Parque Amazônia",64 m²,2,,2,,,apartamentos
2021-08-05 16:34:17.754286-03:00,R$ 150.000,"Rua Leran, Parque Acalanto",51 m²,2,1,1,R$ 270,,apartamentos
2021-08-05 16:34:17.754717-03:00,R$ 670.000,"Rua 143, Setor Marista",115 m²,3,1,1,,,apartamentos
2021-08-05 16:34:17.755061-03:00,R$ 1.048.000,"Rua 146, Setor Marista",160 - 175 m²,3 - 4,2 - 3,6,,,apartamentos
2021-08-05 16:34:17.755424-03:00,R$ 3.375.000,"Rua 9, Setor Oeste",445 m²,4,4,4,,,apartamentos
2021-08-05 16:34:17.755750-03:00,R$ 1.600.000,"Avenida H, Jardim Goiás",199 m²,4,3,6,R$ 900,R$ 1.500,apartamentos
2021-08-05 16:34:17.756159-03:00,R$ 660.000,"Setor Oeste, Goiânia",210 m²,4,3,4,R$ 1.350,,apartamentos
2021-08-05 16:34:17.756565-03:00,R$ 675.000,"Rua T 51, Setor Bueno",111 m²,3,2,3,R$ 685,,apartamentos
2021-08-05 16:34:17.756948-03:00,R$ 238.000,"Rua Manaus, Parque Amazônia",57 m²,2,1,2,R$ 250,,apartamentos
2021-08-05 16:34:17.757369-03:00,R$ 225.000,"Rua 140, Setor Marista",60 m²,2,,2,R$ 380,R$ 550,apartamentos
2021-08-05 16:34:17.757782-03:00,R$ 275.000,"Vila Rosa, Goiânia",61 m²,2,1,2,R$ 280,R$ 400,apartamentos
2021-08-05 16:34:17.758216-03:00,R$ 185.000,"Rua 235, Setor Leste Universitário",49 m²,1,1,1,R$ 380,R$ 600,apartamentos
2021-08-05 16:34:17.758658-03:00,R$ 390.000,"Rua do Parque, Jardim Atlântico",76 m²,2,2,2,R$ 380,R$ 820,apartamentos
2021-08-05 16:34:17.759070-03:00,R$ 320.000,"Avenida Afonso Pena, Vila Alpes",64 m²,2,1,1,,,apartamentos
2021-08-05 16:34:17.759568-03:00,R$ 366.643,"Avenida Armando de Godoy, Setor Negrão de Lima",64 m²,2,1,2,R$ 400,,apartamentos
2021-08-05 16:34:17.760292-03:00,R$ 279.000,"Rua Timburé, Santa Genoveva",58 m²,2,1,1,R$ 220,R$ 570,apartamentos
2021-08-05 16:34:17.761235-03:00,R$ 365.000,"Avenida H, Jardim Goiás",70 m²,2,1,3,R$ 625,,apartamentos
2021-08-05 16:34:17.762051-03:00,R$ 430.000,"Avenida Milão, Residencial Eldorado",93 m²,3,2,3,R$ 500,,apartamentos
2021-08-05 16:34:17.762884-03:00,R$ 559.999,"Rua T 27, Setor Bueno",106 m²,3,2,3,R$ 580,R$ 820,apartamentos
2021-08-05 16:34:17.763674-03:00,R$ 180.000,"Avenida Goiás, Setor Central",129 m²,3,,2,R$ 390,R$ 500,apartamentos
2021-08-05 16:34:17.764440-03:00,R$ 450.000,"Rua T 36, Setor Bueno",67 m²,2,1,2,R$ 600,R$ 600,apartamentos
2021-08-05 16:34:17.765204-03:00,R$ 235.000,"Rua Canuma, Parque Amazônia",62 m²,2,1,2,R$ 250,,apartamentos
2021-08-05 16:34:17.765942-03:00,R$ 349.570,"Praça Francisco Alves de Oliveira, Parque Amazônia",76 m²,3,1,2,R$ 290,R$ 290,apartamentos
2021-08-05 16:34:17.766729-03:00,R$ 330.000,"Rua S 6, Setor Bela Vista",90 m²,3,2,3,R$ 530,,apartamentos
2021-08-05 16:34:17.767465-03:00,R$ 165.000,"Avenida Anhanguera, Setor Leste Universitário",60 m²,2,,1,R$ 575,R$ 267,apartamentos
2021-08-05 16:34:17.768214-03:00,R$ 239.999,"Rua Gladiolo, Parque Oeste Industrial",54 m²,2,1,2,R$ 240,R$ 250,apartamentos
2021-08-05 16:34:17.769043-03:00,R$ 580.000,"Rua 146, Setor Marista",95 m²,3,2,4,,,apartamentos
2021-08-05 16:34:17.769691-03:00,R$ 2.470.259,"Rua 38, Setor Marista",326 - 367 m²,3 - 4,4 - 5,3 - 5,,,apartamentos
2021-08-05 16:34:17.770314-03:00,R$ 942.683,"Rua 38, Setor Marista",129 m²,3,2,3,,,apartamentos
2021-08-05 16:34:17.770955-03:00,R$ 467.000,"Avenida Copacabana, Jardim Atlântico",94 m²,3,2,3,R$ 380,,apartamentos
2021-08-05 16:34:17.771724-03:00,R$ 210.000,"Avenida Santa Maria, Parque Santa Rita",55 m²,2,1,2,R$ 230,R$ 600,apartamentos
2021-08-05 16:34:17.772532-03:00,R$ 788.000,"Jardim Goiás, Goiânia",140 m²,3,2,5,R$ 680,R$ 1.007,apartamentos
2021-08-05 16:34:17.773316-03:00,R$ 326.774,"Avenida T 5, Serrinha",62 m²,2,1,2,R$ 250,R$ 300,apartamentos
2021-08-05 16:34:17.774064-03:00,R$ 210.000,"Rua Elisaura, Setor Negrão de Lima",56 m²,2,1,1,R$ 280,R$ 267,apartamentos
2021-08-05 16:34:17.774582-03:00,R$ 220.000,"Jardim Atlântico, Goiânia",57 m²,2,1,2,R$ 350,,apartamentos
2021-08-05 16:34:17.774972-03:00,R$ 270.000,"Rua Presidente Linhares, Vila Rosa",65 m²,2,1,1,R$ 300,R$ 250,apartamentos
2021-08-05 16:34:17.775400-03:00,R$ 284.002,"Avenida Sergipe, Setor Campinas",87 m²,3,2,2,R$ 280,,apartamentos
2021-08-05 16:34:17.775837-03:00,R$ 370.000,"Rua T 38, Setor Bueno",126 m²,3,2,3,R$ 600,,apartamentos
2021-08-05 16:34:17.776222-03:00,R$ 270.000,"Avenida Marialva, Vila Rosa",58 m²,2,1,1,,,apartamentos
2021-08-05 16:34:17.776592-03:00,R$ 299.000,"Avenida São João, Alto da Glória",60 m²,2,1,2,R$ 240,R$ 300,apartamentos
2021-08-05 16:34:17.777028-03:00,R$ 314.000,"Rua 261-B, Setor Leste Universitário",62 m²,2,1,2,R$ 300,,apartamentos
2021-08-05 16:34:17.777453-03:00,R$ 197.000,"Jardim Bom Jesus, Goiânia",67 m²,2,1,2,R$ 50,,apartamentos
2021-08-05 16:34:17.777878-03:00,R$ 380.000,"Rua 242, Vila Monticelli",70 m²,3,2,2,R$ 250,R$ 850,apartamentos
2021-08-05 16:34:17.778298-03:00,R$ 470.000,"Rua T, Setor Bueno",108 m²,3,2,4,R$ 450,,apartamentos
2021-08-05 16:34:17.778734-03:00,R$ 280.000,"Rua Francisco Godinho, Vila Rosa",57 m²,2,1,2,R$ 220,,apartamentos
