DATE,PRICE,ADDRESS,AREAS,BEDROOMS,PARKING-SPACES,BATHROOMS,CONDOMÍNIO,IPTU,TIPO
2021-08-05 16:34:18.512173-03:00,R$ 1.930.500,"Alameda das Rosas, Setor Oeste",264 m²,4,4,6,R$ 890,R$ 1.700,apartamentos
2021-08-05 16:34:18.512638-03:00,R$ 1.341.006,"Jardim Goiás, Goiânia",172 m²,3,3,5,,,apartamentos
2021-08-05 16:34:18.512987-03:00,R$ 430.000,"Avenida T 5, Setor Bueno",107 m²,3,2,3,R$ 600,R$ 1.578,apartamentos
2021-08-05 16:34:18.513430-03:00,R$ 320.267,"Serrinha, Goiânia",60 m²,2,1,2,,,apartamentos
2021-08-05 16:34:18.513942-03:00,R$ 690.000,"Avenida T 3, Setor Bueno",102 m²,3,2,5,R$ 450,R$ 680,apartamentos
2021-08-05 16:34:18.514673-03:00,R$ 860.000,"Rua R 17, Setor Oeste",138 m²,4,,5,R$ 650,,apartamentos
2021-08-05 16:34:18.515207-03:00,R$ 600.000,"Rua T 48, Setor Bueno",128 m²,4,2,5,R$ 700,,apartamentos
2021-08-05 16:34:18.515678-03:00,R$ 378.676,"Setor Sudoeste, Goiânia",71 m²,2,1,2,,,apartamentos
2021-08-05 16:34:18.516040-03:00,R$ 350.000,"Vila Rosa, Goiânia",73 m²,3,2,3,R$ 320,,apartamentos
2021-08-05 16:34:18.516482-03:00,R$ 360.000,"Parque Amazônia, Goiânia",87 m²,3,2,2,R$ 350,R$ 300,apartamentos
2021-08-05 16:34:18.516924-03:00,R$ 424.000,"Setor Marista, Goiânia",62 m²,2,1,2,R$ 350,R$ 780,apartamentos
2021-08-05 16:34:18.517345-03:00,R$ 365.000,"Rua 230, Setor Leste Universitário",66 m²,2,2,2,R$ 380,,apartamentos
2021-08-05 16:34:18.517748-03:00,R$ 234.000,"Parque Industrial Paulista, Goiânia",80 m²,3,2,3,R$ 500,,apartamentos
2021-08-05 16:34:18.518148-03:00,R$ 291.000,"Jardim das Esmeraldas, Goiânia",57 m²,2,1,2,,,apartamentos
2021-08-05 16:34:18.518512-03:00,R$ 512.000,"Rua 1033, Setor Pedro Ludovico",99 m²,3,2,4,,,apartamentos
2021-08-05 16:34:18.518851-03:00,R$ 343.926,"Setor Bueno, Goiânia",69 m²,2,1,2,R$ 430,,apartamentos
2021-08-05 16:34:18.519224-03:00,R$ 343.926,"Setor Bueno, Goiânia",69 m²,2,1,2,R$ 430,,apartamentos
2021-08-05 16:34:18.519621-03:00,R$ 309.000,"Parque Amazônia, Goiânia",64 m²,2,1,2,R$ 290,R$ 600,apartamentos
2021-08-05 16:34:18.520034-03:00,R$ 892.900,"Setor Marista, Goiânia",132 m²,3,2,5,R$ 650,,apartamentos
2021-08-05 16:34:18.520469-03:00,R$ 329.000,"Serrinha, Goiânia",62 m²,2,1,2,R$ 400,R$ 600,apartamentos
2021-08-05 16:34:18.520896-03:00,R$ 175.000,"Vila Monticelli, Goiânia",60 m²,2,1,1,R$ 180,R$ 370,apartamentos
2021-08-05 16:34:18.521603-03:00,R$ 433.352,"Rua T 28, Setor Bueno",71 m²,3,2,3,,,apartamentos
2021-08-05 16:34:18.522134-03:00,R$ 262.500,"Avenida Engenheiro Fuad Rassi, Vila Jaraguá",58 m²,2,1,2,,,apartamentos
2021-08-05 16:34:18.522602-03:00,R$ 260.000,"Rua 54, Jardim Goiás",60 m²,2,1,1,R$ 480,R$ 350,apartamentos
2021-08-05 16:34:18.523098-03:00,R$ 170.000,"Avenida Nerópolis, Jardim Balneário Meia Ponte",44 m²,2,1,1,,,apartamentos
2021-08-05 16:34:18.523514-03:00,R$ 1.136.600,"Setor Marista, Goiânia",167 m²,3,3,5,R$ 950,R$ 1.500,apartamentos
2021-08-05 16:34:18.523991-03:00,R$ 2.430.000,"Alameda Coronel Eugênio Jardim, Setor Marista",267 m²,4,4,6,R$ 2.200,R$ 4.500,apartamentos
2021-08-05 16:34:18.524473-03:00,R$ 270.000,"Rua 401, Setor Negrão de Lima",67 m²,2,1,2,,,apartamentos
2021-08-05 16:34:18.524843-03:00,R$ 135.000,"Avenida Perimetral Oeste, Residencial Goiania Viva",65 m²,2,1,1,R$ 200,R$ 500,apartamentos
2021-08-05 16:34:18.525270-03:00,R$ 686.388,"Avenida PL 3, Park Lozândes",121 m²,3,2,4,R$ 1,R$ 1,apartamentos
2021-08-05 16:34:18.525738-03:00,R$ 155.000,"Rua da Borracha, Parque Oeste Industrial",77 m²,2,1,2,,,apartamentos
2021-08-05 16:34:18.526130-03:00,R$ 359.000,"Rua José Salustiano, Vila Rosa",72 m²,3,2,4,,,apartamentos
2021-08-05 16:34:18.526504-03:00,R$ 359.000,"Rua José Salustiano, Vila Rosa",72 m²,3,2,4,,,apartamentos
2021-08-05 16:34:18.526838-03:00,R$ 344.000,"Rua 1034, Setor Pedro Ludovico",65 m²,2,1,2,R$ 350,R$ 1.800,apartamentos
2021-08-05 16:34:18.527265-03:00,R$ 225.000,"Avenida T 4, Setor Bueno",60 m²,2,1,1,R$ 450,,apartamentos
2021-08-05 16:34:18.527711-03:00,R$ 424.000,"Setor Marista, Goiânia",62 m²,2,1,2,R$ 350,R$ 780,apartamentos
2021-08-05 16:34:18.528186-03:00,R$ 1.100.000,"Rua 32, Setor Marista",175 m²,4,2,6,R$ 750,,apartamentos
2021-08-05 16:34:18.528614-03:00,R$ 403.662,"Rua 27, Setor Oeste",69 m²,2,1,2,,,apartamentos
2021-08-05 16:34:18.529165-03:00,R$ 252.500,"Rua Lucila Mazeto, Vila Rosa",60 m²,2,1,2,R$ 300,R$ 1,apartamentos
2021-08-05 16:34:18.529934-03:00,R$ 262.200,"Avenida Goiás, Setor Crimeia Oeste",58 m²,2,1,1,,,apartamentos
2021-08-05 16:34:18.530369-03:00,R$ 310.000,"Rua 84, Setor Sul",79 m²,3,1,2,,,apartamentos
2021-08-05 16:34:18.530774-03:00,R$ 345.000,"Avenida do Comércio, Vila Maria José",62 m²,1,1,1,R$ 250,R$ 600,apartamentos
2021-08-05 16:34:18.531273-03:00,R$ 145.000,"Avenida Berlim, Jardim Europa",49 m²,2,1,1,,,apartamentos
2021-08-05 16:34:18.531719-03:00,R$ 145.000,"Rua Gentil Pinto, Vila Rosa",58 m²,2,1,1,R$ 170,,apartamentos
2021-08-05 16:34:18.532175-03:00,R$ 265.000,"Vila Rosa, Goiânia",56 m²,2,1,2,R$ 230,R$ 315,apartamentos
2021-08-05 16:34:18.532650-03:00,R$ 360.208,"Parque Amazônia, Goiânia",71 m²,3,1,2,,,apartamentos
2021-08-05 16:34:18.533007-03:00,R$ 260.000,"Jardim das Esmeraldas, Goiânia",52 m²,2,1,2,R$ 350,,apartamentos
2021-08-05 16:34:18.533430-03:00,R$ 128.000,"Avenida Porto Dourado, Residencial Porto Dourado",42 m²,2,1,1,,,apartamentos
2021-08-05 16:34:18.533775-03:00,R$ 455.689,"Jardim Atlântico, Goiânia",94 m²,3,2,3,R$ 350,R$ 300,apartamentos
2021-08-05 16:34:18.534218-03:00,R$ 660.000,"Setor Oeste, Goiânia",210 m²,4,3,4,R$ 1.350,,apartamentos
2021-08-05 16:34:18.534635-03:00,R$ 685.000,"Park Lozândes, Goiânia",121 m²,3,2,4,R$ 400,R$ 150,apartamentos
2021-08-05 16:34:18.535095-03:00,R$ 303.800,"Avenida T 5, Serrinha",62 m²,2,1,2,R$ 350,R$ 600,apartamentos
2021-08-05 16:34:18.535548-03:00,R$ 424.000,"Setor Marista, Goiânia",62 m²,2,1,2,R$ 350,R$ 780,apartamentos
2021-08-05 16:34:18.535983-03:00,R$ 403.662,"Rua 27, Setor Oeste",69 m²,2,1,2,,,apartamentos
2021-08-05 16:34:18.536325-03:00,R$ 252.500,"Rua Lucila Mazeto, Vila Rosa",60 m²,2,1,2,R$ 300,R$ 1,apartamentos
2021-08-05 16:34:18.536857-03:00,R$ 262.200,"Avenida Goiás, Setor Crimeia Oeste",58 m²,2,1,1,,,apartamentos
2021-08-05 16:34:18.537239-03:00,R$ 310.000,"Rua 84, Setor Sul",79 m²,3,1,2,,,apartamentos
2021-08-05 16:34:18.537617-03:00,R$ 345.000,"Avenida do Comércio, Vila Maria José",62 m²,1,1,1,R$ 250,R$ 600,apartamentos
2021-08-05 16:34:18.538075-03:00,R$ 145.000,"Avenida Berlim, Jardim Europa",49 m²,2,1,1,,,apartamentos
2021-08-05 16:34:18.538458-03:00,R$ 145.000,"Rua Gentil Pinto, Vila Rosa",58 m²,2,1,1,R$ 170,,apartamentos
2021-08-05 16:34:18.538852-03:00,R$ 265.000,"Vila Rosa, Goiânia",56 m²,2,1,2,R$ 230,R$ 315,apartamentos
2021-08-05 16:34:18.539270-03:00,R$ 360.208,"Parque Amazônia, Goiânia",71 m²,3,1,2,,,apartamentos
2021-08-05 16:34:18.539621-03:00,R$ 128.000,"Avenida Porto Dourado, Residencial Porto Dourado",42 m²,2,1,1,,,apartamentos
2021-08-05 16:34:18.539959-03:00,R$ 315.350,"Rua 20, Setor Central",61 m²,2,1,2,,,apartamentos
2021-08-05 16:34:18.540293-03:00,R$ 190.000,"Rua 225, Setor Leste Universitário",60 m²,2,1,1,R$ 450,R$ 850,apartamentos
2021-08-05 16:34:18.540745-03:00,R$ 520.000,"Jardim Atlântico, Goiânia",95 m²,3,2,2,R$ 350,R$ 750,apartamentos
2021-08-05 16:34:18.541188-03:00,R$ 258.167,"Rua E1, Vila Lucy",60 m²,2,1,2,,,apartamentos
2021-08-05 16:34:18.541530-03:00,R$ 264.217,"Rua E1, Vila Lucy",60 m²,2,1,2,,,apartamentos
2021-08-05 16:34:18.541861-03:00,R$ 750.000,"Rua 46, Jardim Goiás",120 m²,3,2,4,R$ 550,R$ 2.000,apartamentos
2021-08-05 16:34:18.542314-03:00,R$ 370.000,"Jardim América, Goiânia",89 m²,3,2,3,R$ 285,,apartamentos
2021-08-05 16:34:18.542739-03:00,R$ 400.000,"Rua 54, Jardim Goiás",77 m²,3,1,2,R$ 480,,apartamentos
2021-08-05 16:34:18.543132-03:00,R$ 573.000,"Rua T 33, Setor Bueno",94 m²,3,2,4,R$ 400,,apartamentos
2021-08-05 16:34:18.543530-03:00,R$ 650.000,"Rua 74, Jardim Goiás",106 m²,3,2,4,R$ 620,,apartamentos
2021-08-05 16:34:18.543937-03:00,R$ 973.527,"Setor Bueno, Goiânia",155 m²,3,3,4,,,apartamentos
2021-08-05 16:34:18.544279-03:00,R$ 620.000,"Setor Bueno, Goiânia",114 m²,3,2,1,R$ 350,R$ 1.500,apartamentos
2021-08-05 16:34:18.544732-03:00,R$ 406.327,"Setor Central, Goiânia",66 m²,2,1,2,R$ 400,R$ 780,apartamentos
2021-08-05 16:34:18.545177-03:00,R$ 495.000,"Rua T 38, Setor Bueno",131 m²,4,2,4,R$ 760,,apartamentos
2021-08-05 16:34:18.545564-03:00,R$ 320.000,"Avenida Assis Chateaubriand, Setor Oeste",110 m²,3,2,3,R$ 536,R$ 146,apartamentos
2021-08-05 16:34:18.545986-03:00,R$ 1.350.000,"Rua 1121, Setor Bueno",181 m²,3,3,5,R$ 850,,apartamentos
2021-08-05 16:34:18.546367-03:00,R$ 290.000,"Rua C146, Jardim América",120 m²,3,2,2,,,apartamentos
2021-08-05 16:34:18.546710-03:00,R$ 309.000,"Rua Caapi, Parque Amazônia",64 m²,2,1,2,R$ 290,R$ 600,apartamentos
2021-08-05 16:34:18.547128-03:00,R$ 469.900,"Residencial Eldorado Expansao, Goiânia",99 m²,3,,3,,,apartamentos
2021-08-05 16:34:18.547502-03:00,R$ 369.900,"Rua Fortaleza, Alto da Glória",60 m²,3,1,1,R$ 425,R$ 450,apartamentos
2021-08-05 16:34:18.547955-03:00,R$ 560.000,"Jardim Goiás, Goiânia",105 m²,3,,4,R$ 550,,apartamentos
2021-08-05 16:34:18.548365-03:00,R$ 400.000,"Parque Amazônia, Goiânia",75 m²,3,2,2,,,apartamentos
2021-08-05 16:34:18.548716-03:00,R$ 339.620,"Setor Pedro Ludovico, Goiânia",66 m²,2,1,2,R$ 300,R$ 750,apartamentos
2021-08-05 16:34:18.549134-03:00,R$ 730.000,"Rua C238, Jardim América",119 m²,3,2,4,R$ 600,R$ 800,apartamentos
2021-08-05 16:34:18.549553-03:00,R$ 370.000,"Jardim América, Goiânia",89 m²,3,3,4,R$ 310,,apartamentos
2021-08-05 16:34:18.549990-03:00,R$ 290.000,"Vila Maria José, Goiânia",52 m²,2,1,2,R$ 330,R$ 40,apartamentos
2021-08-05 16:34:18.550437-03:00,R$ 396.900,"Avenida T 8, Setor Bueno",70 m²,2,1,2,R$ 350,R$ 440,apartamentos
2021-08-05 16:34:18.550877-03:00,R$ 299.000,"Residencial Eldorado, Goiânia",81 m²,3,1,3,R$ 400,,apartamentos
2021-08-05 16:34:18.551262-03:00,R$ 408.571,"Setor Bueno, Goiânia",69 m²,2,1,2,,,apartamentos
2021-08-05 16:34:18.551614-03:00,R$ 384.686,"Setor Sudoeste, Goiânia",67 m²,2,1,2,,,apartamentos
2021-08-05 16:34:18.551941-03:00,R$ 120.000,"Setor Central, Goiânia",56 m²,1,1,1,R$ 300,R$ 52,apartamentos
2021-08-05 16:34:18.552507-03:00,R$ 215.000,"Parque Oeste Industrial, Goiânia",54 m²,2,1,2,R$ 240,R$ 380,apartamentos
2021-08-05 16:34:18.553018-03:00,R$ 352.000,"Jardim Atlântico, Goiânia",73 m²,2,1,3,R$ 260,,apartamentos
2021-08-05 16:34:18.553474-03:00,R$ 1.126.000,"Rua 1124, Setor Marista",158 m²,3,2,4,R$ 700,R$ 3.500,apartamentos
2021-08-05 16:34:18.553923-03:00,R$ 946.000,"Rua T 71, Setor Bueno",141 m²,3,3,4,R$ 650,R$ 900,apartamentos
2021-08-05 16:34:18.554337-03:00,R$ 284.002,"Avenida Sergipe, Setor Campinas",87 m²,3,2,2,R$ 300,R$ 986,apartamentos
2021-08-05 16:34:18.554794-03:00,R$ 255.200,"Rua Lucila Mazeto, Vila Rosa",58 m²,2,1,2,,,apartamentos
2021-08-05 16:34:18.555163-03:00,R$ 189.500,"Avenida Independência, Jardim Atlântico",50 m²,2,1,2,R$ 250,R$ 450,apartamentos
2021-08-05 16:34:18.555596-03:00,R$ 786.628,"Avenida PL 3, Park Lozândes",121 m²,3,2,4,R$ 1,R$ 1,apartamentos
2021-08-05 16:34:18.556061-03:00,R$ 750.000,"Avenida H, Jardim Goiás",139 m²,3,2,5,R$ 450,,apartamentos
2021-08-05 16:34:18.556460-03:00,R$ 632.000,"Setor Bueno, Goiânia",104 m²,3,2,2,R$ 550,R$ 900,apartamentos
2021-08-05 16:34:18.556913-03:00,R$ 626.880,"Setor Bueno, Goiânia",103 m²,3,2,4,R$ 550,,apartamentos
2021-08-05 16:34:18.557311-03:00,R$ 375.000,"Jardim América, Goiânia",66 m²,2,1,2,R$ 300,R$ 750,apartamentos
2021-08-05 16:34:18.557751-03:00,R$ 330.000,"Jardim Goiás, Goiânia",89 m²,3,2,1,R$ 500,,apartamentos
2021-08-05 16:34:18.558168-03:00,R$ 310.250,"Rua Hárpia, Parque Amazônia",73 m²,3,1,2,R$ 350,,apartamentos
2021-08-05 16:34:18.558581-03:00,R$ 399.000,"Avenida Marialva, Vila Rosa",74 m²,3,2,3,R$ 300,,apartamentos
2021-08-05 16:34:18.559078-03:00,R$ 249.000,"Goiania 2, Goiânia",67 m²,2,1,2,R$ 297,R$ 450,apartamentos
2021-08-05 16:34:18.559554-03:00,R$ 375.000,"Setor Bueno, Goiânia",69 m²,2,1,2,R$ 280,,apartamentos
2021-08-05 16:34:18.559977-03:00,R$ 310.000,"Avenida Pedro Paulo de Souza, Goiania 2",82 m²,3,2,3,R$ 360,R$ 550,apartamentos
2021-08-05 16:34:18.560426-03:00,R$ 327.527,"Avenida Marialva, Vila Rosa",74 m²,3,1,2,R$ 240,R$ 50,apartamentos
2021-08-05 16:34:18.560844-03:00,R$ 420.000,"Setor Pedro Ludovico, Goiânia",84 m²,3,2,4,,,apartamentos
2021-08-05 16:34:18.561217-03:00,R$ 560.000,"Avenida Circular, Residencial Eldorado Expansao",99 m²,3,2,4,,,apartamentos
2021-08-05 16:34:18.561563-03:00,R$ 590.000,"Rua T 37, Setor Bueno",98 m²,3,2,4,,,apartamentos
2021-08-05 16:34:18.561901-03:00,R$ 273.000,"Vila Rosa, Goiânia",56 m²,2,1,2,,,apartamentos
2021-08-05 16:34:18.562253-03:00,R$ 360.000,"Alameda Imbé, Parque Amazônia",87 m²,3,2,2,R$ 350,R$ 300,apartamentos
2021-08-05 16:34:18.562697-03:00,R$ 617.000,"Rua T 33, Setor Bueno",95 m²,3,2,4,R$ 450,R$ 800,apartamentos
2021-08-05 16:34:18.563124-03:00,R$ 615.000,"Rua do Parque, Jardim Atlântico",106 m²,3,2,4,R$ 400,,apartamentos
2021-08-05 16:34:18.563584-03:00,R$ 1.300.000,"Setor Bueno, Goiânia",206 m²,4,4,6,,,apartamentos
2021-08-05 16:34:18.564157-03:00,R$ 690.650,"Rua C229, Jardim América",121 m²,3,2,5,R$ 450,R$ 800,apartamentos
2021-08-05 16:34:18.564933-03:00,R$ 850.000,"Setor Bueno, Goiânia",200 m²,4,2,3,,,apartamentos
2021-08-05 16:34:18.565324-03:00,R$ 408.571,"Setor Bueno, Goiânia",69 m²,2,1,2,,,apartamentos
2021-08-05 16:34:18.565710-03:00,R$ 384.686,"Setor Sudoeste, Goiânia",67 m²,2,1,2,,,apartamentos
2021-08-05 16:34:18.566077-03:00,R$ 120.000,"Setor Central, Goiânia",56 m²,1,1,1,R$ 300,R$ 52,apartamentos
2021-08-05 16:34:18.566615-03:00,R$ 215.000,"Parque Oeste Industrial, Goiânia",54 m²,2,1,2,R$ 240,R$ 380,apartamentos
2021-08-05 16:34:18.567086-03:00,R$ 352.000,"Jardim Atlântico, Goiânia",73 m²,2,1,3,R$ 260,,apartamentos
2021-08-05 16:34:18.567534-03:00,R$ 230.000,"Avenida Primeira Avenida, Setor Leste Universitário",63 m²,2,1,2,R$ 500,R$ 500,apartamentos
2021-08-05 16:34:18.568011-03:00,R$ 299.000,"Rua 401, Setor Negrão de Lima",67 m²,2,1,2,,,apartamentos
2021-08-05 16:34:18.568376-03:00,R$ 616.000,"Setor Bueno, Goiânia",98 m²,3,2,4,R$ 500,,apartamentos
2021-08-05 16:34:18.568786-03:00,R$ 271.000,"Parque Amazônia, Goiânia",65 m²,2,1,2,R$ 360,R$ 1.100,apartamentos
2021-08-05 16:34:18.569222-03:00,R$ 474.789,"Rua 1034, Setor Pedro Ludovico",84 m²,3,2,3,,,apartamentos
2021-08-05 16:34:18.569601-03:00,R$ 255.200,"Rua Lucila Mazeto, Vila Rosa",58 m²,2,1,2,,,apartamentos
2021-08-05 16:34:18.569960-03:00,R$ 189.500,"Avenida Independência, Jardim Atlântico",50 m²,2,1,2,R$ 250,R$ 450,apartamentos
2021-08-05 16:34:18.570393-03:00,R$ 786.628,"Avenida PL 3, Park Lozândes",121 m²,3,2,4,R$ 1,R$ 1,apartamentos
2021-08-05 16:34:18.570862-03:00,R$ 750.000,"Avenida H, Jardim Goiás",139 m²,3,2,5,R$ 450,,apartamentos
2021-08-05 16:34:18.571244-03:00,R$ 632.000,"Setor Bueno, Goiânia",104 m²,3,2,2,R$ 550,R$ 900,apartamentos
2021-08-05 16:34:18.571716-03:00,R$ 626.880,"Setor Bueno, Goiânia",103 m²,3,2,4,R$ 550,,apartamentos
2021-08-05 16:34:18.572133-03:00,R$ 375.000,"Jardim América, Goiânia",66 m²,2,1,2,R$ 300,R$ 750,apartamentos
2021-08-05 16:34:18.572572-03:00,R$ 330.000,"Jardim Goiás, Goiânia",89 m²,3,2,1,R$ 500,,apartamentos
2021-08-05 16:34:18.572969-03:00,R$ 310.250,"Rua Hárpia, Parque Amazônia",73 m²,3,1,2,R$ 350,,apartamentos
2021-08-05 16:34:18.573363-03:00,R$ 399.000,"Avenida Marialva, Vila Rosa",74 m²,3,2,3,R$ 300,,apartamentos
2021-08-05 16:34:18.573761-03:00,R$ 375.000,"Setor Bueno, Goiânia",69 m²,2,1,2,R$ 280,,apartamentos
2021-08-05 16:34:18.574301-03:00,R$ 500.000,"Rua 1033, Setor Pedro Ludovico",99 m²,3,2,4,R$ 400,,apartamentos
2021-08-05 16:34:18.574736-03:00,R$ 997.000,"Rua Brasil, Setor Bueno",160 m²,3,2,5,R$ 400,R$ 700,apartamentos
2021-08-05 16:34:18.575168-03:00,R$ 480.000,"Jardim Goiás, Goiânia",87 m²,3,2,2,R$ 450,,apartamentos
2021-08-05 16:34:18.575587-03:00,R$ 360.000,"Rua Salvador, Parque Amazônia",87 m²,3,2,2,R$ 500,,apartamentos
2021-08-05 16:34:18.575986-03:00,R$ 390.000,"Setor Bueno, Goiânia",65 m²,2,1,2,R$ 450,R$ 750,apartamentos
2021-08-05 16:34:18.576424-03:00,R$ 310.000,"Serrinha, Goiânia",60 m²,2,1,2,R$ 300,R$ 700,apartamentos
2021-08-05 16:34:18.576858-03:00,R$ 360.000,"Jardim América, Goiânia",89 m²,3,2,4,R$ 285,,apartamentos
2021-08-05 16:34:18.577231-03:00,R$ 444.500,"Rua 1128, Setor Marista",70 m²,2,1,3,R$ 400,R$ 80,apartamentos
2021-08-05 16:34:18.577659-03:00,R$ 293.000,"Rua Caapi, Parque Amazônia",64 m²,2,1,2,R$ 290,R$ 420,apartamentos
2021-08-05 16:34:18.578083-03:00,R$ 390.000,"Setor Bueno, Goiânia",64 m²,2,1,2,R$ 250,R$ 650,apartamentos
2021-08-05 16:34:18.578518-03:00,R$ 129.500,"Conjunto Vera Cruz, Goiânia",44 m²,1,2,1,,,apartamentos
2021-08-05 16:34:18.578852-03:00,R$ 850.000,"Rua 70, Jardim Goiás",126 m²,3,2,5,R$ 550,,apartamentos
2021-08-05 16:34:18.579225-03:00,R$ 360.000,"Avenida Terceira Radial, Setor Pedro Ludovico",63 m²,2,1,1,,,apartamentos
2021-08-05 16:34:18.579580-03:00,R$ 290.000,"Avenida Nápoli, Residencial Eldorado",82 m²,3,2,3,R$ 400,,apartamentos
2021-08-05 16:34:18.579961-03:00,R$ 490.000,"Parque Amazônia, Goiânia",85 m²,3,2,2,R$ 450,R$ 800,apartamentos
2021-08-05 16:34:18.580372-03:00,R$ 240.000,"Rua 227, Setor Leste Universitário",57 m²,2,1,1,R$ 300,,apartamentos
2021-08-05 16:34:18.580764-03:00,R$ 250.000,"Setor Goiânia 2, Goiânia",74 m²,3,2,2,R$ 320,R$ 52,apartamentos
2021-08-05 16:34:18.581191-03:00,R$ 735.900,"Setor Bueno, Goiânia",125 m²,3,2,5,R$ 650,,apartamentos
2021-08-05 16:34:18.581587-03:00,R$ 249.000,"Rua do Esmalte, Parque Oeste Industrial",65 m²,3,2,2,,,apartamentos
2021-08-05 16:34:18.581909-03:00,R$ 215.000,"Parque Oeste Industrial, Goiânia",54 m²,2,1,2,R$ 280,R$ 390,apartamentos
2021-08-05 16:34:18.582324-03:00,R$ 741.777,"Rua 14, Jardim Goiás",115 m²,3,2,4,R$ 500,,apartamentos
2021-08-05 16:34:18.582717-03:00,R$ 293.800,"Rua VV 8, Village Veneza",64 m²,2,1,2,,,apartamentos
2021-08-05 16:34:18.583057-03:00,R$ 280.000,"Avenida Marialva, Vila Rosa",56 m²,2,1,2,R$ 300,R$ 600,apartamentos
2021-08-05 16:34:18.583505-03:00,R$ 215.000,"Rua do Babaçu, Parque Oeste Industrial",54 m²,2,1,2,R$ 240,R$ 380,apartamentos
2021-08-05 16:34:18.583926-03:00,R$ 259.655,"Setor Crimeia Oeste, Goiânia",58 m²,2,1,2,,,apartamentos
2021-08-05 16:34:18.584259-03:00,R$ 815.000,"Rua 70, Jardim Goiás",126 m²,3,2,4,R$ 620,R$ 900,apartamentos
2021-08-05 16:34:18.584684-03:00,R$ 397.442,"Avenida Copacabana, Jardim Atlântico",73 m²,2,1,3,R$ 350,R$ 600,apartamentos
2021-08-05 16:34:18.585095-03:00,R$ 736.000,"Setor Marista, Goiânia",127 m²,3,2,4,R$ 510,,apartamentos
2021-08-05 16:34:18.585499-03:00,R$ 310.000,"Setor Bela Vista, Goiânia",80 m²,3,2,2,R$ 350,,apartamentos
2021-08-05 16:34:18.585881-03:00,R$ 755.000,"Rua T 30, Setor Bueno",121 m²,3,2,4,R$ 544,R$ 1,apartamentos
2021-08-05 16:34:18.586287-03:00,R$ 265.000,"Avenida Senador Péricles, Setor Negrão de Lima",68 m²,3,1,1,R$ 300,R$ 328,apartamentos
2021-08-05 16:34:18.586716-03:00,R$ 290.000,"Jardim América, Goiânia",85 m²,3,2,2,R$ 550,R$ 790,apartamentos
2021-08-05 16:34:18.587124-03:00,R$ 336.577,"Avenida T 5, Serrinha",62 m²,2,1,2,,,apartamentos
2021-08-05 16:34:18.587488-03:00,R$ 349.000,"Avenida Laguna, Jardim Atlântico",74 m²,3,2,2,R$ 250,R$ 350,apartamentos
2021-08-05 16:34:18.587966-03:00,R$ 283.000,"Avenida Marialva, Vila Rosa",57 m²,2,1,2,,,apartamentos
2021-08-05 16:34:18.588329-03:00,R$ 599.000,"Avenida São João, Alto da Glória",110 m²,3,2,3,R$ 470,R$ 550,apartamentos
2021-08-05 16:34:18.588761-03:00,R$ 235.000,"Jardim América, Goiânia",60 m²,2,1,2,R$ 300,R$ 600,apartamentos
2021-08-05 16:34:18.589195-03:00,R$ 890.000,"Rua 24, Setor Marista",130 m²,3,2,4,R$ 596,,apartamentos
2021-08-05 16:34:18.589627-03:00,R$ 550.000,"Avenida Independência, Jardim Atlântico",123 m²,3,2,4,,,apartamentos
2021-08-05 16:34:18.589960-03:00,R$ 231.000,"Rua Doutor Joaquim Taveira, Vila Rosa",56 m²,2,1,2,R$ 280,R$ 600,apartamentos
2021-08-05 16:34:18.590419-03:00,R$ 405.553,"Jardim Atlântico, Goiânia",72 m²,2,2,3,,,apartamentos
2021-08-05 16:34:18.590747-03:00,R$ 620.000,"Rua T 52, Setor Bueno",110 m²,3,2,4,R$ 410,R$ 1.200,apartamentos
2021-08-05 16:34:18.591167-03:00,R$ 271.000,"Rua Caapi, Parque Amazônia",65 m²,2,1,2,R$ 360,R$ 1.100,apartamentos
2021-08-05 16:34:18.591600-03:00,R$ 190.000,"Rua C152, Jardim América",54 m²,2,1,1,R$ 400,,apartamentos
2021-08-05 16:34:18.591982-03:00,R$ 1.298.000,"Rua 1141, Setor Marista",221 m²,4,3,6,R$ 800,R$ 1.600,apartamentos
2021-08-05 16:34:18.592477-03:00,R$ 250.000,"Aeroviário, Goiânia",64 m²,2,1,1,R$ 350,,apartamentos
2021-08-05 16:34:18.592911-03:00,R$ 622.000,"Setor Marista, Goiânia",99 m²,3,2,5,,,apartamentos
2021-08-05 16:34:18.593242-03:00,R$ 284.002,"Avenida Sergipe, Setor Campinas",87 m²,3,2,2,R$ 300,R$ 986,apartamentos
2021-08-05 16:34:18.593708-03:00,R$ 1.018.000,"Rua T 29, Setor Bueno",175 m²,4,5,4,R$ 650,R$ 2.000,apartamentos
2021-08-05 16:34:18.594120-03:00,R$ 278.783,"Setor Marista, Goiânia",38 m²,1,1,1,,,apartamentos
2021-08-05 16:34:18.594456-03:00,R$ 755.000,"Jardim Atlântico, Goiânia",123 m²,3,2,4,R$ 450,,apartamentos
2021-08-05 16:34:18.594865-03:00,R$ 250.000,"Aeroviário, Goiânia",64 m²,2,1,1,R$ 350,,apartamentos
2021-08-05 16:34:18.595278-03:00,R$ 622.000,"Setor Marista, Goiânia",99 m²,3,2,5,,,apartamentos
2021-08-05 16:34:18.595637-03:00,R$ 284.002,"Avenida Sergipe, Setor Campinas",87 m²,3,2,2,R$ 300,R$ 986,apartamentos
